Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
2,103,0,2,1,6
2,35,0,2,1,7
2,30,0,2,0,0
2,56,0,2,0,1
2,21,0,2,0,2
2,27,0,2,0,3
2,30,0,2,0,4
2,49,0,2,0,5
2,14,0,2,0,6
2,2,0,2,0,7
2,826,0,0,1,0
2,1163,0,0,1,1
2,760,0,0,1,2
2,748,0,0,1,3
2,832,0,0,1,4
2,1566,0,0,1,5
2,731,0,0,1,6
2,351,0,0,1,7
2,63,0,0,0,0
2,111,0,0,0,1
2,104,0,0,0,2
2,139,0,0,0,3
2,153,0,0,0,4
2,279,0,0,0,5
2,114,0,0,0,6
2,57,0,0,0,7
2,3,0,4,1,0
2,132,0,4,1,1
2,168,0,4,1,2
2,216,0,4,1,3
2,298,0,4,1,4
2,710,0,4,1,5
2,445,0,4,1,6
2,235,0,4,1,7
2,0,0,4,0,0
2,32,0,4,0,1
2,41,0,4,0,2
2,88,0,4,0,3
2,131,0,4,0,4
2,296,0,4,0,5
2,124,0,4,0,6
2,50,0,4,0,7
2,40,0,3,1,0
2,128,0,3,1,1
2,181,0,3,1,2
2,129,0,3,1,3
2,127,0,3,1,4
2,197,0,3,1,5
2,112,0,3,1,6
2,28,0,3,1,7
2,7,0,3,0,0
2,13,0,3,0,1
2,17,0,3,0,2
2,17,0,3,0,3
2,12,0,3,0,4
2,21,0,3,0,5
2,17,0,3,0,6
2,5,0,3,0,7
2,683,2,1,1,0
2,663,2,1,1,1
2,447,2,1,1,2
2,386,2,1,1,3
2,306,2,1,1,4
2,515,2,1,1,5
2,238,2,1,1,6
2,80,2,1,1,7
2,68,2,1,0,0
2,87,2,1,0,1
2,65,2,1,0,2
2,50,2,1,0,3
2,50,2,1,0,4
2,83,2,1,0,5
2,40,2,1,0,6
2,20,2,1,0,7
2,110,2,2,1,0
2,101,2,2,1,1
2,35,2,2,1,2
2,34,2,2,1,3
